p	el	stress	strain	stress_th
0	0	0.00	0.00000	0.00
1	0.16	4.97	0.00008	2.38
2	0.352	9.95	0.00018	5.23
3	0.706	14.92	0.00035	10.48
4	1.012	19.89	0.00051	15.03
5	1.434	24.86	0.00072	21.30
6	1.712	29.84	0.00086	25.42
7	1.986	34.81	0.00099	29.49
8	2.286	39.78	0.00114	33.95
9	2.612	44.75	0.00131	38.79
10	2.938	49.73	0.00147	43.63
11	3.274	54.70	0.00164	48.62
12	3.632	59.67	0.00182	53.94
13	3.976	64.64	0.00199	59.05
14	4.386	69.62	0.00219	65.14
15	4.64	74.59	0.00232	68.91
16	4.988	79.56	0.00249	74.08
17	5.432	84.54	0.00272	80.67
18	5.862	89.51	0.00293	87.05
19	6.362	94.48	0.00318	94.48
20	7.304	99.45	0.00365	108.47
21	8.072	104.43	0.00404	119.88
22	9.044	109.40	0.00452	119.88
23	11.31	114.37	0.00566	119.88
24	14.12	119.34	0.00706	119.88
25	20.044	124.32	0.01002	119.88
26	29.106	129.29	0.01455	119.88
