days	front	mid	end	settled
0	0	0	0	0
0.006944444	0.111572158	0	0	0
0.019444444	0.089634925	0.12481454	0.140572111	0
0.024305556	0.084699696	0.10671493	0.110529367	0
0.034027778	0.085209948	0.104288746	0.10801646	0.324049381
0.045833333	0.091413443	0.109405159	0.113921733	0.28404282
0.065972222	0.10049611	0.117181509	0.120187464	0.280164617
0.767361111	0.156551271	0.15787804	0.16526604	0.399889051
0.975694444	0.159600481	0.164297284	0.170746805	0.402168012
1.958333333	0.17272996	0.177530451	0.187308197	0.460912911
